House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
95,Thomas Avenue,Graeme,Conway,40,Head,Married,Male,Retail merchandiser,None,Catholic
95,Thomas Avenue,Stephanie,Conway,39,Wife,Married,Female,Soil scientist,None,None
95,Thomas Avenue,Martyn,Conway,15,Son,NA,Male,Student,None,NA
96,Thomas Avenue,Andrew,Simpson,55,Head,Single,Male,Industrial/product designer,None,Catholic
96,Thomas Avenue,Kimberley,Allen,42,None,Single,Female,Forensic scientist,None,Christian
96,Thomas Avenue,Dorothy,Robertson,39,None,Single,Female,"Librarian, public",None,None
96,Thomas Avenue,Julie,Cook,48,None,Single,Female,Facilities manager,None,Methodist
96,Thomas Avenue,Adam,Wilkinson,29,None,Single,Male,Unemployed,None,Christian
97,Thomas Avenue,Amy,Green,53,Head,Married,Female,"Scientist, research (medical)",None,Christian
97,Thomas Avenue,Louis,Green,56,Husband,Married,Male,"Engineer, maintenance (IT)",None,Christian
97,Thomas Avenue,Brett,Green,21,Son,Single,Male,University Student,None,Christian
97,Thomas Avenue,Leanne,Fox-Green,3,Daughter,NA,Female,Child,None,NA
98,Thomas Avenue,Lucy,Baxter,28,Head,Divorced,Female,Merchant navy officer,None,Christian
98,Thomas Avenue,Mathew,Baxter,11,Son,NA,Male,Student,None,NA
98,Thomas Avenue,Peter,Baxter,4,Son,NA,Male,Child,None,NA
99,Thomas Avenue,Billy,Graham,61,Head,Single,Male,Information officer,None,Christian
99,Thomas Avenue,Abigail,Stewart,22,None,Single,Female,University Student,None,None
99,Thomas Avenue,Beverley,Lowe,21,None,Single,Female,University Student,None,Methodist
100,Thomas Avenue,Mohamed,Morgan,66,Head,Married,Male,"Accountant, chartered public finance",None,None
100,Thomas Avenue,Rosie,Bradshaw,62,Wife,Married,Female,Industrial buyer,None,None
100,Thomas Avenue,Gerald,Morgan,27,Son,Single,Male,Early years teacher,None,None
100,Thomas Avenue,Alan,Morgan,23,Son,Single,Male,Academic librarian,None,None
101,Thomas Avenue,Kimberley,Read,38,Head,Single,Female,"Geologist, wellsite",None,None
101,Thomas Avenue,Kieran,Thornton,39,Partner,Single,Male,Aid worker,None,None
101,Thomas Avenue,Keith,Williams-Read,15,Son,NA,Male,Student,None,NA
102,Thomas Avenue,Sarah,Butcher,46,Head,Married,Female,Unemployed,None,Catholic
102,Thomas Avenue,Mark,Butcher,45,Husband,Married,Male,"Merchandiser, retail",None,Catholic
102,Thomas Avenue,Patrick,Butcher,15,Son,NA,Male,Student,None,NA
102,Thomas Avenue,Kayleigh,Butcher,13,Daughter,NA,Female,Student,None,NA
102,Thomas Avenue,Derek,Butcher,12,Son,NA,Male,Student,None,NA
103,Thomas Avenue,Ryan,Wyatt,37,Head,Single,Male,Mental health nurse,None,None
103,Thomas Avenue,Charlie,Wyatt,0,Son,NA,Male,Child,None,NA
104,Thomas Avenue,Jodie,Webb,53,Head,Married,Female,Unemployed,None,Muslim
104,Thomas Avenue,Leigh,Webb,55,Husband,Married,Male,"Nurse, learning disability",None,Muslim
104,Thomas Avenue,Pauline,Webb,19,Daughter,Single,Female,University Student,None,Muslim
104,Thomas Avenue,Eric,Webb,16,Adopted Son,NA,Male,Student,None,NA
104,Thomas Avenue,Carly,Webb,9,Daughter,NA,Female,Student,None,NA
104,Thomas Avenue,John,Webb,8,Son,NA,Male,Student,None,NA
105,Thomas Avenue,Linda,Hudson,77,Head,Married,Female,Retired Environmental education officer,None,Catholic
105,Thomas Avenue,Robert,Hudson,83,Husband,Married,Male,Retired Magazine features editor,None,Catholic
105,Thomas Avenue,Emma,Shaw,17,Granddaughter,NA,Female,Student,None,NA
105,Thomas Avenue,Sarah,Shaw,16,Granddaughter,NA,Female,Student,None,NA
106,Thomas Avenue,Danielle,Kerr,34,Head,Single,Female,Horticultural consultant,None,None
106,Thomas Avenue,Rosie,Kerr,8,Daughter,NA,Female,Student,None,NA
106,Thomas Avenue,Nicholas,Kerr,7,Son,NA,Male,Student,None,NA
106,Thomas Avenue,Annette,Kerr,4,Daughter,NA,Female,Child,None,NA
107,Thomas Avenue,Ruth,Wright,42,Head,Single,Female,Amenity horticulturist,None,Christian
107,Thomas Avenue,Harry,Scott,43,Partner,Single,Male,Drilling engineer,None,Christian
107,Thomas Avenue,Harriet,Wright,3,Daughter,NA,Female,Child,None,NA
108,Thomas Avenue,Frank,Clayton,36,Head,Single,Male,Glass blower/designer,None,Catholic
108,Thomas Avenue,Pamela,Smith,32,Partner,Single,Female,"Therapist, nutritional",None,None
108,Thomas Avenue,Hollie,Clayton,4,Daughter,NA,Female,Child,None,NA
108,Thomas Avenue,Luke,Hart-Clayton,0,Son,NA,Male,Child,None,NA
109,Thomas Avenue,Amber,Webster,31,Head,Married,Female,Unemployed,None,None
109,Thomas Avenue,Kenneth,Webster,35,Husband,Married,Male,English as a foreign language teacher,None,None
109,Thomas Avenue,Guy,Webster,4,Son,NA,Male,Child,None,NA
110,Thomas Avenue,Jayne,Harris,44,Head,Married,Female,Engineering geologist,None,None
110,Thomas Avenue,Jonathan,Harris,44,Husband,Married,Male,Photographer,None,None
110,Thomas Avenue,Zoe,Armstrong,17,Daughter,NA,Female,Student,None,NA
111,Thomas Avenue,Beth,Walker,57,Head,Married,Female,Town planner,Disabled,Christian
111,Thomas Avenue,Terry,Walker,61,Husband,Married,Male,Communications engineer,None,None
111,Thomas Avenue,Linda,Walker,28,Daughter,Single,Female,Geographical information systems officer,None,Christian
111,Thomas Avenue,Max,Walker,28,Son,Single,Male,Armed forces training and education officer,None,Christian
111,Thomas Avenue,Guy,Walker,12,Son,NA,Male,Student,None,NA
112,Thomas Avenue,Paige,Hall,49,Head,Married,Female,"Engineer, civil (consulting)",None,None
112,Thomas Avenue,Benjamin,Hall,51,Husband,Married,Male,Marketing executive,None,None
112,Thomas Avenue,Anna,Hall,15,Daughter,NA,Female,Student,None,NA
113,Thomas Avenue,Natalie,Taylor,35,Head,Single,Female,"Designer, graphic",None,Christian
113,Thomas Avenue,Janet,Taylor,12,Daughter,NA,Female,Student,None,NA
113,Thomas Avenue,Olivia,Taylor,8,Daughter,NA,Female,Student,None,NA
114,Thomas Avenue,Ellie,Ali,37,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
114,Thomas Avenue,Gerald,Ali,5,Son,NA,Male,Student,None,NA
114,Thomas Avenue,Nicole,Ali,4,Daughter,NA,Female,Child,None,NA
114,Thomas Avenue,Luke,Ali,1,Son,NA,Male,Child,None,NA
114,Thomas Avenue,Paul,Ali,1,Son,NA,Male,Child,None,NA
115,Thomas Avenue,Brenda,Lawrence,66,Head,Widowed,Female,Animator,None,Christian
115,Thomas Avenue,Naomi,Lawrence,34,Adopted Daughter,Single,Female,Curator,None,Christian
116,Thomas Avenue,Angela,Clarke,41,Head,Widowed,Female,Dramatherapist,None,None
116,Thomas Avenue,Gerard,Clarke,15,Son,NA,Male,Student,None,NA
116,Thomas Avenue,Glenn,Clarke,13,Son,NA,Male,Student,None,NA
116,Thomas Avenue,Geraldine,Clarke,13,Daughter,NA,Female,Student,None,NA
117,Thomas Avenue,Lynn,Hutchinson,41,Head,Single,Female,Site engineer,None,Catholic
117,Thomas Avenue,Shaun,Farmer-Hutchinson,8,Son,NA,Male,Student,None,NA
117,Thomas Avenue,Jake,Farmer-Hutchinson,4,Son,NA,Male,Child,None,NA
118,Thomas Avenue,Georgia,Kelly,38,Head,Divorced,Female,"Administrator, charities/voluntary organisations",None,Christian
118,Thomas Avenue,Kieran,Kelly,4,Son,NA,Male,Child,None,NA
118,Thomas Avenue,Katherine,Kelly,3,Daughter,NA,Female,Child,None,NA
119,Thomas Avenue,Sian,Marsh,70,Head,Widowed,Female,Retired Chartered legal executive (England and Wales),None,None
119,Thomas Avenue,Marian,Marsh,45,Daughter,Single,Female,Psychiatric nurse,None,None
119,Thomas Avenue,Andrew,Marsh,44,Son,Divorced,Male,Unemployed,None,None
120,Thomas Avenue,Derek,Taylor,34,Head,Single,Male,"Pharmacist, hospital",None,Christian
120,Thomas Avenue,Irene,Davies,30,Partner,Single,Female,"Engineer, building services",None,Christian
120,Thomas Avenue,Ellie,Taylor,0,Daughter,NA,Female,Child,None,NA
121,Thomas Avenue,Alison,Sullivan,73,Head,Widowed,Female,Retired Social researcher,None,Methodist
122,Thomas Avenue,Joel,Bryan,42,Head,Married,Male,Press photographer,None,Catholic
122,Thomas Avenue,Michelle,Gray,42,Wife,Married,Female,"Designer, graphic",None,Catholic
122,Thomas Avenue,Sarah,Bryan,14,Daughter,NA,Female,Student,None,NA
123,Thomas Avenue,Stuart,Sullivan,32,Head,Single,Male,Solicitor,None,Catholic
123,Thomas Avenue,Lucy,Miah,25,None,Single,Female,Social worker,None,None
123,Thomas Avenue,Elaine,Fisher,50,None,Single,Female,Interior and spatial designer,None,None
123,Thomas Avenue,Alison,Burrows,55,None,Single,Female,Youth worker,None,Catholic
123,Thomas Avenue,Tracy,Carter,32,None,Single,Female,"Scientist, product/process development",None,Catholic
124,Thomas Avenue,Heather,Roberts,44,Head,Single,Female,Speech and language therapist,None,Methodist
124,Thomas Avenue,Stanley,Watts,45,Partner,Single,Male,Contractor,None,Methodist
124,Thomas Avenue,Carol,Roberts,16,Daughter,NA,Female,Student,None,NA
124,Thomas Avenue,Mandy,Roberts,16,Daughter,NA,Female,Student,None,NA
124,Thomas Avenue,Tina,Roberts,11,Daughter,NA,Female,Student,None,NA
124,Thomas Avenue,Samantha,Roberts,8,Daughter,NA,Female,Student,None,NA
125,Thomas Avenue,Maureen,Carter,41,Head,Married,Female,"Librarian, public",Deaf,Christian
125,Thomas Avenue,Harry,Carter,47,Husband,Married,Male,Geophysicist/field seismologist,None,Christian
125,Thomas Avenue,Sam,Carter,15,Son,NA,Male,Student,None,NA
126,Thomas Avenue,Debra,Jones,39,Head,Married,Female,Politician's assistant,None,Methodist
126,Thomas Avenue,Ronald,Jones,41,Husband,Married,Male,Medical secretary,None,None
126,Thomas Avenue,Christine,Jones,17,Daughter,NA,Female,Student,None,NA
127,Thomas Avenue,Ian,Boyle,51,Head,Married,Male,Fast food restaurant manager,None,None
127,Thomas Avenue,Tracy,Boyle,49,Wife,Married,Female,Speech and language therapist,None,None
127,Thomas Avenue,Nathan,Boyle,23,Son,Single,Male,IT technical support officer,None,None
128,Thomas Avenue,Yvonne,Robinson,48,Head,Married,Female,Museum/gallery conservator,None,None
128,Thomas Avenue,Ross,Robinson,48,Husband,Married,Male,"Scientist, audiological",None,None
128,Thomas Avenue,Lisa,Robinson,25,Daughter,Single,Female,Chief of Staff,None,None
129,Thomas Avenue,Georgia,Humphries,49,Head,Married,Female,Fashion designer,None,Methodist
129,Thomas Avenue,Trevor,Humphries,52,Husband,Married,Male,"Psychotherapist, child",None,None
129,Thomas Avenue,Victor,Humphries,15,Son,NA,Male,Student,None,NA
129,Thomas Avenue,Damian,Humphries,11,Son,NA,Male,Student,None,NA
130,Thomas Avenue,Martyn,Russell,34,Head,Married,Male,Unemployed,None,Christian
130,Thomas Avenue,Hilary,Russell,29,Wife,Married,Female,Dispensing optician,None,Christian
130,Thomas Avenue,Eric,Russell,8,Son,NA,Male,Student,None,NA
131,Thomas Avenue,Jade,Smith,70,Head,Widowed,Female,Retired Politician's assistant,None,Christian
132,Thomas Avenue,Oliver,Chapman,38,Head,Single,Male,Geographical information systems officer,None,None
133,Thomas Avenue,Joan,Turner,50,Head,Single,Female,Field trials officer,None,Christian
133,Thomas Avenue,Jay,Turner,14,Son,NA,Male,Student,None,NA
133,Thomas Avenue,Jacob,Turner,11,Son,NA,Male,Student,None,NA
133,Thomas Avenue,Tom,Turner,4,Son,NA,Male,Child,None,NA
134,Thomas Avenue,Abigail,Smith,26,Head,Married,Female,"Physicist, medical",None,Muslim
134,Thomas Avenue,Jacob,Smith,28,Husband,Married,Male,Musician,None,Muslim
134,Thomas Avenue,Jordan,Williams,54,Lodger,Single,Male,Warden/ranger,None,None
135,Thomas Avenue,Gerald,Clark,43,Head,Single,Male,Fine artist,None,Christian
135,Thomas Avenue,Craig,Clark,13,Son,NA,Male,Student,None,NA
135,Thomas Avenue,Sheila,Clark,10,Daughter,NA,Female,Student,None,NA
135,Thomas Avenue,Callum,Ellis-Clark,8,Son,NA,Male,Student,None,NA
135,Thomas Avenue,Kieran,Ellis-Clark,7,Son,NA,Male,Student,None,NA
136,Thomas Avenue,Valerie,Glover,88,Head,Married,Female,"Retired Designer, multimedia",None,Catholic
136,Thomas Avenue,Derek,Glover,88,Husband,Married,Male,Retired Accommodation manager,None,None
137,Thomas Avenue,Hayley,Jones,59,Head,Divorced,Female,Sales executive,None,None
137,Thomas Avenue,Ronald,Jones,17,Son,NA,Male,Student,None,NA
137,Thomas Avenue,Judith,Jones,14,Daughter,NA,Female,Student,None,NA
138,Thomas Avenue,Harriet,Reynolds,37,Head,Married,Female,Financial trader,None,Methodist
138,Thomas Avenue,Norman,Reynolds,39,Husband,Married,Male,"Production assistant, radio",None,Methodist
138,Thomas Avenue,Ricky,Reynolds,2,Son,NA,Male,Child,None,NA
139,Thomas Avenue,Gerard,Murphy,51,Head,Single,Male,Horticultural therapist,None,None
139,Thomas Avenue,Joanna,Watts,63,None,Single,Female,"Designer, furniture",None,Christian
139,Thomas Avenue,Katherine,Hill,56,None,Single,Female,Curator,None,Christian
140,Thomas Avenue,Linda,O'Brien,37,Head,Single,Female,Unemployed,None,Catholic
140,Thomas Avenue,Elliot,Price,38,Partner,Single,Male,Forensic scientist,None,Catholic
141,Thomas Avenue,Ruth,Crawford,36,Head,Married,Female,Art gallery manager,None,Christian
141,Thomas Avenue,Brian,Crawford,38,Husband,Married,Male,Community pharmacist,None,None
141,Thomas Avenue,Nigel,Crawford,14,Son,NA,Male,Student,None,NA
142,Thomas Avenue,Emily,Bray,85,Head,Married,Female,Retired Research scientist (physical sciences),None,None
142,Thomas Avenue,Christian,Bray,90,Husband,Married,Male,Retired Medical physicist,None,None
143,Thomas Avenue,Jennifer,Walker,28,Head,Single,Female,Tax adviser,None,None
143,Thomas Avenue,Alexander,Walker,3,Son,NA,Male,Child,None,NA
143,Thomas Avenue,Patricia,Sharpe-Walker,0,Daughter,NA,Female,Child,None,NA
144,Thomas Avenue,Julie,Warren,35,Head,Married,Female,"Engineer, drilling",None,None
144,Thomas Avenue,Arthur,Warren,39,Husband,Married,Male,Chief Marketing Officer,None,None
144,Thomas Avenue,Teresa,Warren,4,Daughter,NA,Female,Child,None,NA
144,Thomas Avenue,Mohammed,Warren,3,Son,NA,Male,Child,None,NA
144,Thomas Avenue,Gareth,Bartlett,27,Lodger,Single,Male,Publishing rights manager,None,Catholic
145,Thomas Avenue,Ellie,Williams,78,Head,Single,Female,Retired Financial planner,None,Christian
146,Thomas Avenue,Lucy,Smith,47,Head,Single,Female,"Psychologist, occupational",None,None
146,Thomas Avenue,Dale,Sharpe,50,Partner,Single,Male,Fish farm manager,None,None
146,Thomas Avenue,James,Smith,22,Son,Divorced,Male,"Psychotherapist, child",None,None
146,Thomas Avenue,Shannon,Smith,20,Daughter,Single,Female,University Student,None,None
146,Thomas Avenue,Jay,Smith,16,Son,NA,Male,Student,None,NA
147,Thomas Avenue,Elaine,Perry,21,Head,Single,Female,University Student,None,Muslim
147,Thomas Avenue,Marion,Norris,58,None,Single,Female,"Engineer, manufacturing systems",None,None
147,Thomas Avenue,Maria,Patel,56,None,Divorced,Female,Medical illustrator,None,None
147,Thomas Avenue,Rachael,Davies,57,None,Single,Female,Occupational therapist,None,Christian
148,Thomas Avenue,Cheryl,Richardson,54,Head,Divorced,Female,Probation officer,None,Christian
148,Thomas Avenue,Nigel,Richardson,28,Son,Single,Male,Travel agency manager,None,None
148,Thomas Avenue,Gerard,Richardson,25,Son,Single,Male,"Administrator, arts",None,None
149,Thomas Avenue,Bruce,Schofield,51,Head,Married,Male,Unemployed,None,Christian
149,Thomas Avenue,Katie,Schofield,48,Wife,Married,Female,Unemployed,None,None
149,Thomas Avenue,Jayne,Hall,50,Lodger,Single,Female,Restaurant manager,None,Catholic
149,Thomas Avenue,Norman,Booth,44,Sibling,Divorced,Male,Textile designer,None,Catholic
150,Thomas Avenue,Jennifer,Hughes,29,Head,Married,Female,Purchasing manager,None,None
150,Thomas Avenue,Julian,Hughes,34,Husband,Married,Male,"Optician, dispensing",None,None
150,Thomas Avenue,Garry,Hughes,6,Son,NA,Male,Student,None,NA
150,Thomas Avenue,Mandy,Hughes,2,Daughter,NA,Female,Child,None,NA
151,Thomas Avenue,Lindsey,Sutton,79,Head,Married,Female,Retired Tax inspector,None,Christian
151,Thomas Avenue,Jordan,Sutton,81,Husband,Married,Male,Retired Lexicographer,None,None
152,Thomas Avenue,Kerry,Kent,37,Head,Married,Female,Accounting technician,None,Methodist
152,Thomas Avenue,Owen,Kent,39,Husband,Married,Male,Police officer,None,Methodist
152,Thomas Avenue,Joyce,Kent,3,Daughter,NA,Female,Child,None,NA
152,Thomas Avenue,Bryan,Kent,2,Son,NA,Male,Child,None,NA
152,Thomas Avenue,Adam,Johnston,26,Cousin,Single,Male,"Therapist, horticultural",None,Christian
153,Thomas Avenue,Maria,Watkins,63,Head,Single,Female,"Engineer, civil (contracting)",None,Christian
154,Thomas Avenue,Karen,Powell,72,Head,Married,Female,Retired Pharmacologist,None,Christian
154,Thomas Avenue,Dean,Powell,74,Husband,Married,Male,"Retired Administrator, local government",None,Christian
154,Thomas Avenue,Charles,Powell,35,Son,Divorced,Male,"Engineer, materials",None,None
154,Thomas Avenue,Matthew,Powell,31,Son,Single,Male,Medical secretary,None,None
154,Thomas Avenue,Darren,Powell,25,Son,Divorced,Male,"Runner, broadcasting/film/video",None,None
155,Thomas Avenue,Joshua,Roberts,53,Head,Married,Male,Applications developer,None,None
155,Thomas Avenue,Emily,Roberts,53,Wife,Married,Female,"Scientist, research (physical sciences)",None,None
155,Thomas Avenue,Colin,Roberts,17,Grandson,NA,Male,Student,None,NA
155,Thomas Avenue,Lorraine,Roberts,13,Granddaughter,NA,Female,Student,None,NA
156,Thomas Avenue,Amanda,Watts,28,Head,Married,Female,Patent attorney,None,None
156,Thomas Avenue,Justin,Watts,32,Husband,Married,Male,"Engineer, technical sales",None,None
156,Thomas Avenue,Stanley,Watts,7,Son,NA,Male,Student,None,NA
157,Thomas Avenue,Kelly,Kelly,41,Head,Married,Female,Financial adviser,None,None
157,Thomas Avenue,Toby,Kelly,43,Husband,Married,Male,Forest/woodland manager,None,None
157,Thomas Avenue,Joshua,Kelly,4,Son,NA,Male,Child,None,NA
158,Thomas Avenue,Elliott,Scott,65,Head,Widowed,Male,Glass blower/designer,None,None
159,Thomas Avenue,Valerie,Watson,36,Head,Single,Female,Comptroller,None,Christian
159,Thomas Avenue,Gerard,Daly,33,Partner,Single,Male,Charity officer,None,Christian
159,Thomas Avenue,Kevin,Watson,3,Son,NA,Male,Child,None,NA
159,Thomas Avenue,Alan,Watson,0,Son,NA,Male,Child,None,NA
160,Thomas Avenue,Katy,Wilson,44,Head,Single,Female,Exercise physiologist,None,None
160,Thomas Avenue,Jamie,Heath,49,Partner,Single,Male,"Pilot, airline",None,None
160,Thomas Avenue,Justin,Wilson,12,Son,NA,Male,Student,None,NA
161,Thomas Avenue,Zoe,Bird,50,Head,Single,Female,Health and safety adviser,None,Catholic
161,Thomas Avenue,Amanda,Davies,45,None,Single,Female,Risk analyst,None,Methodist
161,Thomas Avenue,Bryan,Stone,56,None,Single,Male,"Surveyor, land/geomatics",None,Jewish
161,Thomas Avenue,Ann,Wyatt,34,None,Single,Female,"Psychologist, occupational",None,None
162,Thomas Avenue,Ellie,Evans,39,Head,Married,Female,Television camera operator,None,Christian
162,Thomas Avenue,Jamie,Evans,40,Husband,Married,Male,"Surveyor, insurance",None,Christian
162,Thomas Avenue,Lewis,Evans,8,Son,NA,Male,Student,None,NA
163,Thomas Avenue,Wayne,Morton,84,Head,Widowed,Male,Unemployed,None,Christian
164,Thomas Avenue,Samantha,Walsh,25,Head,Married,Female,Ergonomist,None,None
164,Thomas Avenue,Martyn,Walsh,23,Husband,Married,Male,Management consultant,None,None
164,Thomas Avenue,Abdul,Walsh,1,Son,NA,Male,Child,None,NA
165,Thomas Avenue,Rachel,Watkins,52,Head,Married,Female,Homeopath,None,Christian
165,Thomas Avenue,Luke,Watkins,57,Husband,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
165,Thomas Avenue,Marcus,Watkins,23,Son,Single,Male,"Designer, exhibition/display",None,Christian
166,Thomas Avenue,Harriet,Davey,36,Head,Married,Female,Clinical embryologist,Mental Disability,Christian
166,Thomas Avenue,Jonathan,Davey,40,Husband,Married,Male,Public relations account executive,None,None
166,Thomas Avenue,Jodie,Davey,20,Daughter,Divorced,Female,Geochemist,None,None
167,Thomas Avenue,Ashleigh,King,48,Head,Married,Female,Professor Emeritus,None,None
167,Thomas Avenue,Clive,King,48,Husband,Married,Male,Dance movement psychotherapist,None,None
167,Thomas Avenue,Marie,King,11,Daughter,NA,Female,Student,None,NA
168,Thomas Avenue,Ben,Myers,41,Head,Single,Male,Building services engineer,None,Catholic
169,Thomas Avenue,Catherine,Hughes,34,Head,Divorced,Female,Unemployed,None,Catholic
169,Thomas Avenue,David,Hughes,6,Son,NA,Male,Student,None,NA
169,Thomas Avenue,Melissa,Hughes,2,Daughter,NA,Female,Child,None,NA
169,Thomas Avenue,Jordan,Cross,58,Lodger,Single,Male,Unemployed,None,Catholic
169,Thomas Avenue,Leslie,Ward,44,Lodger,Single,Male,"Surveyor, building",None,Christian
170,Thomas Avenue,Julie,Smith,60,Head,Single,Female,Commissioning editor,None,Methodist
170,Thomas Avenue,Kelly,Smith,31,Daughter,Single,Female,Translator,None,None
170,Thomas Avenue,Hazel,Smith,30,Daughter,Single,Female,Fitness centre manager,None,Methodist
170,Thomas Avenue,Zoe,Smith,30,Daughter,Single,Female,"Pharmacist, community",None,None
171,Thomas Avenue,Jemma,Singh,101,Head,Divorced,Female,Retired Animal technologist,None,Christian
172,Thomas Avenue,Kimberley,Kirk,56,Head,Single,Female,Unemployed,None,None
172,Thomas Avenue,Zoe,Kirk,24,Daughter,Single,Female,"Accountant, chartered public finance",None,None
173,Thomas Avenue,Maureen,Smith,66,Head,Married,Female,Community pharmacist,None,Christian
173,Thomas Avenue,Alexander,Smith,70,Husband,Married,Male,Retired Curator,None,None
173,Thomas Avenue,Mitchell,Smith,42,Son,Single,Male,Unemployed,None,Christian
173,Thomas Avenue,Angela,Smith,42,Daughter,Single,Female,Unemployed,None,Christian
173,Thomas Avenue,Terry,Smith,41,Son,Single,Male,Leisure centre manager,None,None
174,Thomas Avenue,Lydia,Simpson,43,Head,Single,Female,Unemployed,None,None
174,Thomas Avenue,Grace,Simpson,20,Daughter,Single,Female,University Student,None,None
174,Thomas Avenue,Jemma,Simpson,17,Daughter,NA,Female,Student,None,NA
174,Thomas Avenue,Gregory,Simpson,14,Son,NA,Male,Student,None,NA
174,Thomas Avenue,Kieran,Simpson,11,Son,NA,Male,Student,None,NA
174,Thomas Avenue,Leah,Simpson,6,Daughter,NA,Female,Student,None,NA
175,Thomas Avenue,Kerry,Pollard,34,Head,Single,Female,Solicitor,None,None
175,Thomas Avenue,Katherine,Hunt,64,None,Single,Female,Copy,None,Christian
175,Thomas Avenue,Pauline,Hill,50,None,Single,Female,"Engineer, drilling",None,None
176,Thomas Avenue,Jodie,Taylor,36,Head,Divorced,Female,Software engineer,None,Methodist
176,Thomas Avenue,Eric,Taylor,5,Son,NA,Male,Student,None,NA
176,Thomas Avenue,Carl,Taylor,4,Son,NA,Male,Child,None,NA
177,Thomas Avenue,Louis,Chapman,78,Head,Widowed,Male,Retired Cartographer,None,Christian
178,Thomas Avenue,Kim,Read,52,Head,Widowed,Female,"Restaurant manager, fast food",None,None
178,Thomas Avenue,Christian,Read,35,Son,Single,Male,Clinical psychologist,None,None
178,Thomas Avenue,Leanne,Read,34,Daughter,Single,Female,Social researcher,None,None
179,Thomas Avenue,Michelle,Jones,45,Head,Married,Female,"Psychologist, prison and probation services",None,None
179,Thomas Avenue,Andrew,Jones,47,Husband,Married,Male,Media planner,None,None
179,Thomas Avenue,Terence,Jones,7,Son,NA,Male,Student,None,NA
180,Thomas Avenue,Rosemary,Haynes,47,Head,Married,Female,Health visitor,None,Christian
180,Thomas Avenue,Roger,Haynes,50,Husband,Married,Male,"Psychotherapist, dance movement",None,Christian
180,Thomas Avenue,Lynne,Haynes,11,Daughter,NA,Female,Student,None,NA
180,Thomas Avenue,Jennifer,Haynes,11,Daughter,NA,Female,Student,None,NA
181,Thomas Avenue,Alexandra,Kaur,72,Head,Married,Female,Retired Trade union research officer,None,Catholic
181,Thomas Avenue,Guy,Kaur,75,Husband,Married,Male,"Retired Librarian, academic",None,Catholic
181,Thomas Avenue,Ronald,Kaur,36,Son,Single,Male,Early years teacher,None,Catholic
182,Thomas Avenue,Rebecca,Hopkins,42,Head,Married,Female,"Scientist, physiological",None,None
182,Thomas Avenue,Christian,Hopkins,48,Husband,Married,Male,Product manager,None,None
182,Thomas Avenue,Emma,Hopkins,5,Daughter,NA,Female,Student,None,NA
183,Thomas Avenue,Fiona,Berry,18,Head,Single,Female,Student,None,NA
183,Thomas Avenue,James,Marshall,19,Partner,Single,Male,University Student,None,None
184,Thomas Avenue,Rachael,Yates,80,Head,Widowed,Female,Retired Quantity surveyor,None,Christian
184,Thomas Avenue,Katie,Yates,37,Daughter,Divorced,Female,Holiday representative,None,Methodist
184,Thomas Avenue,Joseph,Yates,29,Son,Single,Male,Broadcast journalist,None,Christian
185,Thomas Avenue,Jacqueline,Pearson,23,Head,Single,Female,Neurosurgeon,None,None
185,Thomas Avenue,Adrian,Evans,19,Partner,Single,Male,University Student,None,None
185,Thomas Avenue,Robert,Pearson,2,Son,NA,Male,Child,None,NA
186,Thomas Avenue,Rosemary,Ali,45,Head,Single,Female,Unemployed,None,Catholic
186,Thomas Avenue,Gordon,Cook,47,Partner,Single,Male,"Teacher, early years/pre",None,Catholic
186,Thomas Avenue,Joan,Ali,13,Daughter,NA,Female,Student,None,NA
186,Thomas Avenue,Graeme,Ali,13,Son,NA,Male,Student,None,NA
187,Thomas Avenue,Tracey,Davies,38,Head,Married,Female,"Surveyor, minerals",None,Methodist
187,Thomas Avenue,Andrew,Davies,33,Husband,Married,Male,"Solicitor, Scotland",Physical Disability,None
187,Thomas Avenue,Abbie,Davies,4,Adopted Daughter,NA,Female,Child,None,NA
188,Thomas Avenue,Anna,Wyatt,27,Head,Married,Female,Animal nutritionist,None,None
188,Thomas Avenue,Ian,Wyatt,29,Husband,Married,Male,"Surveyor, minerals",None,None
188,Thomas Avenue,Harriet,Wyatt,6,Daughter,NA,Female,Student,None,NA
188,Thomas Avenue,Graham,Wyatt,0,Son,NA,Male,Child,None,NA
189,Thomas Avenue,Andrea,Francis,46,Head,Single,Female,Petroleum engineer,None,Methodist
189,Thomas Avenue,Gerald,Francis,13,Son,NA,Male,Student,None,NA
190,Thomas Avenue,Lynda,Turner,59,Head,Single,Female,Logistics and distribution manager,None,Christian
190,Thomas Avenue,Charlene,Bailey,39,None,Single,Female,Sales promotion account executive,None,None
190,Thomas Avenue,Nicholas,Wade,22,None,Single,Male,University Student,None,Christian
191,Thomas Avenue,Mandy,Wallace,39,Head,Single,Female,Insurance underwriter,None,Christian
191,Thomas Avenue,Leonard,Wallace,22,Son,Single,Male,Secondary school teacher,None,Christian
191,Thomas Avenue,Leah,Wallace,20,Daughter,Single,Female,University Student,None,Catholic
191,Thomas Avenue,Liam,Fleming-Wallace,17,Son,NA,Male,Student,None,NA
191,Thomas Avenue,Rosemary,Fleming-Wallace,13,Daughter,NA,Female,Student,None,NA
